,precision,recall,f1-score,support
Cong nghe,0.9163763066202091,0.9249706916764361,0.9206534422403735,1706.0
Doi song,0.8093645484949833,0.8689407540394973,0.8380952380952381,1671.0
Giai tri,0.9050632911392406,0.9135135135135135,0.9092687698703841,2035.0
Giao duc,0.9159528907922913,0.9169346195069668,0.9164434922335297,1866.0
Khoa hoc,0.8943798449612403,0.8642322097378277,0.879047619047619,2136.0
Kinh te,0.8685279187817259,0.8424421467257509,0.8552861784553861,2031.0
Nha dat,0.8609211126310989,0.891828058573453,0.8761020881670534,2117.0
Phap luat,0.8789769182782283,0.8432076600837821,0.8607208307880269,1671.0
The gioi,0.9101198402130493,0.9023102310231023,0.9061982101425257,1515.0
The thao,0.9642470205850487,0.9705561613958561,0.9673913043478262,1834.0
Van hoa,0.8184912081678957,0.7967973495306461,0.8074986010072748,1811.0
Xa hoi,0.8089275993467611,0.8028092922744462,0.8058568329718006,1851.0
Xe co,0.9436144578313252,0.9565217391304348,0.9500242600679282,2047.0
accuracy,0.884607467786423,0.884607467786423,0.884607467786423,0.884607467786423
macro avg,0.8842279198340844,0.8842357251701318,0.8840451436488436,24291.0
weighted avg,0.8847279223712978,0.884607467786423,0.8844859641551247,24291.0
